Screens,Year,Projections
Number of Screens,2022,275
Number of Screens,2023,288
Number of Screens,2024,352
Number of Screens,2025,429
Number of Cinemas,2022,75
Number of Cinemas,2023,91
Number of Cinemas,2024,107
Number of Cinemas,2025,127
Overall Admission,2022,"3,190,249"
Overall Admission,2023,"2,604,141"
Overall Admission,2024,"2,668,146"
Overall Admission,2025,"2,875,400"
Overall GBO,2022,"6,920,012,926"
Overall GBO,2023,"7,360,572,744"
Overall GBO,2024,"11,582,758,362"
Overall GBO,2025,"15,000,000,000"
Average Ticket price,2022,"2,177"
Average Ticket price,2023,"2,824"
Average Ticket price,2024,"4,341"
Average Ticket price,2025,"6,000"