Rank,Theatre,No. of Screens,City,Region/State,Admissions,Year
1,Silverbird Ikeja 5,5,Ikeja,Lagos,"175,598",2023
2,Kada Benin 5,5,Benin,Edo,"139,693",2023
3,Ebonylife Cinemas 4,5,Lagos,Lagos,"120,125",2023
4,FilmHouse Lekki 6,6,Lagos,Lagos,"109,085",2023
5,Silverbird Jabi Lake Mall 5,5,Abuja,Fct,"96,046",2023
6,FilmHouse Surulere 8,8,Surulere,Lagos,"82,013",2023
7,Genesis Port Harcourt 6,8,Port Harcourt,Rivers,"78,348",2023
8,Genesis Maryland Mall 4,4,Lagos,Lagos,"74,128",2023
9,Genesis Festival Mall 4,4,Festac,Lagos,"73,680",2023
10,Genesis Ceddi Plaza Abuja 4,3,Abuja,Fct,"64,583",2023
11,Genesis Warri Delta Mall 5,5,Warri,Delta,"56,089",2023
12,FilmHouse Landmark 6,6,Lagos,Lagos,"54,186",2023
13,FilmHouse Samonda 3,3,Ibadan,Oyo,"52,911",2023
14,FilmHouse Benin 4,4,Benin,Edo,"50,799",2023
15,Sky Cinemas 4,4,Lagos,Lagos,"50,756",2023
16,Cartege Cinemas Asaba 4,4,Asaba,Delta,"49,607",2023
17,FilmHouse Garden City 5,5,Port Harcourt,Rivers,"48,767",2023
18,Ozone Yaba 6,6,Yaba,Lagos,"44,482",2023
19,Imperial Cinema Osun 4,4,Osogbo,Osun,"44,245",2023
20,FilmHouse Ikota 5,5,Lagos,Lagos,"43,935",2023
21,OOPL Cinema Oke-Mosan 1,1,Abeokuta,Ogun,"43,744",2023
22,FilmHouse Akure 5,5,Akure,Ondo,"43,507",2023
23,Kada Port Harcourt 3,3,Port Harcourt,Rivers,"42,518",2023
24,Silverbird SEC Abuja 12,12,Abuja,Fct,"41,877",2023
25,Silverbird Ikeja,5,Ikeja,Lagos,"206,440",2024
26,EbonyLife Cinemas,4,Victoria Island,Lagos,"138,644",2024
27,FilmHouse Lekki,6,Lekki,Lagos,"133,226",2024
28,Silverbird Jabi Lake Mall,5,Abuja,Fct,"93,899",2024
29,Kada Benin,5,Benin,Edo,"88,834",2024
30,Genesis Port Harcourt,7,Port Harcourt,Rivers,"85,359",2024
31,FilmHouse Surulere,8,Surulere,Lagos,"77,990",2024
32,Genesis Festival Mall,4,Festac,Lagos,"64,849",2024
33,Genesis Maryland Mall,4,Maryland,Lagos,"64,498",2024
34,FilmHouse Samonda,3,Ibadan,Oyo,"61,986",2024
35,FilmHouse Garden City,5,Port Harcourt,Rivers,"61,438",2024
36,Genesis Benin City,4,Benin,Edo,"58,225",2024
37,Imperial Cinema Osun,4,Osogbo,Osun,"54,583",2024
38,Genesis Ceddi Plaza Abuja,4,Abuja,Fct,"54,197",2024
39,Genesis Warri Delta Mall,5,Warri,Delta,"53,490",2024
40,Viva Ibadan,3,Ibadan,Oyo,"51,937",2024
41,FilmHouse Ikota,6,Ikota,Lagos,"49,805",2024
42,FilmHouse Akure,5,Akure,Ondo,"49,302",2024
43,FilmHouse Benin,4,Benin,Edo,"46,961",2024
44,Sky Cinemas,4,Sangotedo,Lagos,"46,085",2024
45,FilmHouse Circle Mall,4,Jakande,Lagos,"45,888",2024
46,Viva Ilorin,4,Ilorin,Kwara,"42,584",2024
47,Filmworld Cinemas,4,Alimosho,Lagos,"41,919",2024
48,Viva Ikeja,4,Ikeja,Lagos,"41,620",2024