Theatre,Location,Screens,Box Office Revenue (₦),Year
FilmHouse Lekki,Lagos,6,"₦475,844,500",2023
Silverbird Ikeja,Lagos,5,"₦463,759,950",2023
Ebonylife Cinemas,Lagos,4,"₦453,394,600",2023
Kada Benin,Edo,5,"₦312,795,170",2023
FilmHouse Surulere,Lagos,8,"₦276,060,000",2023
Genesis Port Harcourt,Rivers,8,"₦253,329,442",2023
Silverbird Jabi Lake Mall,Abuja,5,"₦251,951,025",2023
Genesis Festival Mall,Lagos,4,"₦244,727,340",2023
FilmHouse Landmark,Lagos,6,"₦240,688,900",2023
Genesis Maryland Mall,Lagos,4,"₦230,585,354",2023
Genesis Ceddi Plaza Abuja,Abuja,4,"₦208,778,020",2023
FilmHouse Samonda,Oyo,3,"₦175,552,500",2023
FilmHouse Ikota,Lagos,5,"₦172,599,400",2023
FilmHouse Garden City,Rivers,5,"₦165,356,000",2023
Genesis Warri Delta Mall,Delta,5,"₦163,743,445",2023
FilmHouse Benin,Edo,4,"₦157,970,800",2023
FilmHouse Circle Mall,Lagos,4,"₦145,050,800",2023
Ozone Yaba,Lagos,6,"₦139,278,500",2023
Sky Cinemas,Lagos,4,"₦138,995,500",2023
Cartege Cinemas Asaba,Delta,4,"₦131,613,000",2023
FilmHouse Akure,Ondo,5,"₦122,987,900",2023
Imperial Cinema Osun,Osun,4,"₦114,660,000",2023
Silverbird SEC Abuja,Abuja,12,"₦99,387,075",2023
OOPL Cinema Oke-Mosan,Ogun,1,"₦97,062,400",2023
EbonyLife Cinemas,Lagos,4,"₦838,745,700",2024
Silverbird Ikeja,Lagos,5,"₦829,536,225",2024
FilmHouse Lekki,Lagos,6,"₦821,388,900",2024
Genesis Port Harcourt,Rivers,7,"₦397,463,925",2024
FilmHouse Surulere,Lagos,8,"₦397,224,500",2024
Silverbird Jabi Lake Mall,Fct,5,"₦391,328,950",2024
Genesis Festival Mall,Lagos,4,"₦387,318,500",2024
Genesis Maryland Mall,Lagos,4,"₦353,119,500",2024
Kada Benin,Edo,3,"₦302,609,250",2024
FilmHouse Ikota,Lagos,4,"₦301,244,500",2024
Genesis Ceddi Plaza Abuja,Fct,4,"₦294,259,010",2024
FilmHouse Circle Mall,Lagos,4,"₦288,720,100",2024
FilmHouse Samonda,Oyo,3,"₦280,489,500",2024
Genesis Benin City,Edo,3,"₦256,156,100",2024
FilmHouse Garden City,Rivers,4,"₦248,776,000",2024
FilmHouse Landmark,Lagos,5,"₦235,975,000",2024
FilmHouse Akure,Ondo,4,"₦209,955,500",2024
FilmHouse Benin,Edo,4,"₦205,315,000",2024
Imperial Cinema Osun,Osun,4,"₦205,105,800",2024
Genesis Warri Delta Mall,Delta,5,"₦199,237,700",2024
Sky Cinemas,Lagos,4,"₦186,538,500",2024
THC Cinemax,Lagos,4,"₦175,679,000",2024
Genesis Asaba Mall,Delta,4,"₦151,074,900",2024
Viva Ibadan,Oyo,3,"₦147,477,200",2024